Title,initial
"Why does this have to be integrated by parts?","2014"
"Find the derivative respect to $x$?","2012"
"nth partial sum of the series for $\zeta(2)$","2015"
"$f(x_1,x_2)=\int_{0}^{\sqrt{{x_1}^2+{x_2}^2}}e^{-\frac{w^2}{{x_1}^2+{x_2}^2}}dw$ is homogeneous of which degree?","2015"
"Show bounded and convex function on ℝ is constant (pt 2)","2013"
"Graphing simple fractional function","2012"
"Finding roots of a function with mean value theorem","2012"
"Proving roots with Mean Value Theorem","2012"
"Finding concavity and factoring","2012"
"How can I evaluate $\sum_{n=1}^{\infty} \frac{1+\sin^2 n}{n+n^{1.5}}$?","2013"
"How can I evaluate this sum?","2013"
"Why do these two volume integrals express different values?","2013"
"Ship A and Ship B frustration","2013"
"How to determine the limit of this sum?","2015"
"Does the following fractional series converge?","2016"
"$\sin ^{-1}(\cos (40 {}^{\circ}))=50 {}^{\circ}$","2014"
"How can I tell if one polynomial is greater than another over an interval?","2013"
"Show that this disk is convex:","2013"
"Integral with cube, square and zero starting point","2012"
"Continuity of a function of two variables","2012"
"Maclaurin series of $\ln(1-x+x^2)$","2012"
"Find the set of values of $p$ for which the equation $|\ln x|-px=0$ possess three distinct roots.","2016"
"integral $\int \frac{1}{(1-x^2)^{\frac{1}{3}}} \, dx$","2013"
"Finding the inflection point for a function","2010"
"Asking about a periodic function","2013"
"Calc Problem No Solution in my Text","2014"
"Given $f(x,y,z)=xy^2z^2+x$, show by first principles that f is differentiable at an arbitrary point (a,b,c)....","2015"
"Limit Comparison Test Problem confusion","2013"
"Limit of a sequence defined by a recurrence","2013"
"Finding the rate of change of a relation at $x=1$","2014"
"How to linear approximate a function of 3 variables.","2015"
"The minimax problem : $ \min \max \cos(d_i - d_j)$","2015"
"Finding time traveled from acceleration function","2012"
"For $R(t)$ symmetric, prove $\int_0^T \int_0^T R(t-s) \; dt \; ds = \frac{2}{T^2} \int_0^T (T-u) R(u) \; du$","2014"
"Mapping an open set to a closed one","2014"
"Determining if the function $u(x,y)=xy$ is continuous and its maximum and minimum values on the unit disk.","2016"
"Evaluate the integral: $\int\frac{xe^{2x}}{(1+2x)^2}\ dx$","2015"
"What is the antiderivative of $\int x dx$? I am confiused when it comes to these two formulas: $\int 1 dx=x +C$ and $\int a dx=ax +C$","2015"
"Fixed Point in Calculus","2016"
"Strange question posed in an exam","2014"
"Derivative of lambert w function.","2015"
"Prove f(x)sinx+f'(x)cosx=1","2013"
"Spivak Calculus Chapter 13 Question 28.","2014"
"what does "" the absolute maximum value"" mean?","2013"
"Mistake in answer sheet?","2013"
"Product Rule for Derivatives","2014"
"Help seeing algebra in calculus","2010"
"Point of discontinuity","2013"
"How come $\int_{-\infty}^\infty \! e^{-|t|} \, \mathrm{d} t = 2\int_{0}^\infty \! e^{-|t|} \, \mathrm{d} t$?","2013"
"Integral with Tanh: $\int_{0}^{b} \tanh(x)/x \mathrm{d} x$","2010"
"For which $\alpha$ this sum converges? $\sum_{n=3}^{\infty} {\frac{1}{n \cdot \ln(n) \cdot \ln(\ln(n))^{\alpha}}}$","2013"
"Converting parametric equations to xy equation","2013"
"If $ f(x) + x^4[f(x)]^3 = 12$ and $f(2) = 2$, find $f′(2)$.","2015"
"Determining critical points of this convoluted equation","2015"
"Traveling up and down a mountain","2010"
"Evaluation of the limit, $\lim \limits_{x\rightarrow\infty} \left(\frac{20x}{20x+4}\right)^{8x}$, using only elementary methods","2010"
"inequality; show $\dfrac{a^2}{b^2} + \dfrac{b^2}{a^2} +3 ≥ 2(\dfrac{a}{b} + \dfrac{b}{a})$","2016"
"$x^{1/n}$ vs $\log x$ where $x$ is very large","2016"
"How to prove that $\sum_{n=1}^\infty [(\frac{2n+1}{n}) (\frac{2n+2}{n}) \cdots (\frac{2n+n}{n})]^{-1}$ converges to a sum $S \leq 1$?","2016"
"Limit comparison test; negative outcome","2015"
"Show bounded and convex function on $\mathbb R$ is constant","2013"
"Find the Derivative and simplify (write w/o negative exponents and factor if possible) y=cos^3(x^2+2)","2015"
"How do I simplify the answer?","2015"
"poor mellin transform?","2015"
"Critical Points of $\sin(x^2 + y^2)$","2016"
"Show that $\lim_{n\rightarrow \infty}(\sqrt[3]{n+\sqrt{n}}-\sqrt[3]{n})=0$","2013"
"An application of L'Hopital's rule, rational equation with exponential functions.","2014"
"Implicit differentiation for Partials?","2015"
"Exercise 66 of chapter 11 in Spivak calculus","2014"
"$\prod \cos(x2^{-k})$","2014"
"Calculate $\sum_{m=0}^{100}\left\lfloor \frac{24\cdot m}{101} \right\rfloor$","2014"
"Find limit of function as $x$ approaches $ 0$","2014"
"A function $f$ is differentiable in $[0,10]$ and $f(0)=4$ and $f(10)=-1.$If $g(x)=\frac{f(x)}{x+2}$ and $c\in(0,10)$,then find $g'(c).$","2016"
"$f(x)=e^{2x}-(c+1)e^x+2x+\cos 2+\sin 1,$ is monotonically increasing for all $x\in R,$","2016"
"When the integral is equal to the series?","2016"
"$P(x)$ is a polynomial of least degree and $f(x)$ is a differentiable function for all $x\in R.$Find the degree of the polynomial $P(x).$","2016"
"Find the maximum value of a function of $x$ for a given range of values of $x$","2012"
"Differentiability of $\frac{\sin(x)}{|x|+\cos(x)}$","2016"
"$\sum_{n=1 }^{+\infty }a_{n}$ and $\sum_{n=m }^{+\infty }a_{n}$ or converge together or diverge together","2016"
"How to express $\max\{a,b,c\}$","2014"
"If $\int_{0}^{x}\{t\}dt = \int_{0}^{\{x\}}tdt$ and $x>0$ and $x\notin \mathbb{Z}$, Then $x$ is","2014"
"Conditions for differentiability","2010"
"Evaluate the following integral","2016"
"Lateral surface area by hand","2010"
"If $\int_0^xf(t)\,dt = f(x)$ then $f(x)$ is identically zero.","2012"
"Finding the extrema on sphere","2016"
"How to prove $\int^{\pi}_{-\pi}[4\arctan(e^x)-\pi]\mathrm{d}x={0}$","2016"
"Limit of a two variable function $\frac{x^2\sin^2{y}}{2x^2+y^2}$","2015"
"Under what condition can I confidently do $(dx/dt)/(dy/dt)= \frac{dx}{dy}$","2015"
"Prove that the sequence$ c_1 = 1$, $c_{n+1} = 4/(1 + 5c_n) $ , $ n \geq 1$ is convergent and find its limit","2010"
"Show that $\ln(a+b) =\ ln(a) + \ln(b)$ when $a = \frac{b}{b-1}$","2015"
"If $f(x)=1+x+\int_1^x(\ln^2t+2\ln t)dt$,then $f(x)$ increases in","2016"
"How do I find the tangent slope function of a reciprocal function?","2014"
"Finding $\frac{dy}{dt}$ given a curve and the speed of the particle","2012"
"Quantized calculus","2012"
"What is the domain of $\log(\frac{1+x}{1-x})$?","2014"
"How much money should I save in an account paying 5% interest compounded monthly if I want to have $6,000 in 6 months?","2013"
"Question about implicit differentiation","2010"
"sin(n) subsequence limits set","2010"
"calculating an integral $\int\frac{x \ln x}{(1+x^{2})^{2}}dx $","2015"
"Cauchy's definition of limit and Heine's definition of limit are equivalent..","2014"
"Expressing $U_{xy}$ via Multivariable chain rule","2014"
"Why does $TdS = d(TS)$ for constant T?","2015"
"number of non differentiable points in $g(x) = \tan \left(\frac{1}{2}\arcsin\left(\frac{2f(x)}{1+(f(x))^2}\right)\right)$","2016"
"Equation of the tangent line, derivative denominator is 0","2014"
"How to get a parametrically representation from a line","2013"
"how to prove $\operatorname{arctan}(x) > x/2 -x^3 /6 \:\:\: \forall x>0$","2016"
"Calculating $\oint_{L} \frac{xdy - ydx}{x^2 + y^2}$","2010"
"What does smooth curve mean?","2010"
"Integration and The Fundamental Theorem of Calculus","2013"
"What is $(z_2-z_3)^2 = 4(z_3-z_1)(z_1-z_2) \sin^2\frac{\alpha}{2}$","2013"
"Find the partial derivatives of $f (x,y) = x^2\sin(1/x)+y^2$ at (0,0)","2015"
"Is there a solid algebraic motivation behind the derivative?","2016"
"Max perpendicular distance between line and parabola","2015"
"Series inequalities and their limit","2015"
"Identities inspired from the Ramanujan Notebooks by Simon Pouflle","2015"
"The $n$'th derivative of $x^x$","2014"
"Rational between irrationals, irrational between rationals","2014"
"convergence of a series involving $x^\sqrt{n}$","2013"
"Apostol Calculus, Volume I, Chapter 7.11, Problem 31 (p. 291), $o$-notation","2012"
"4 step area of a solid of revolution","2016"
"Derivative of a product and derivative of quotient of functions theorem: I don't understand its proof","2010"
"Can there exist local maxima or minima at inflection point","2016"
"Proof that existsts $\delta>0$ such that $2-\frac{1}{3} < x^2 +x < 2+\frac{1}{3}$","2014"
"Prove that $f(x) + g(x) = 6$","2010"
"Evaluating integrals with sigma notation","2012"
"Periodicity of this function","2013"
"Show that $\arctan a+\arctan(\frac{1}{a})=\frac{\pi}{2}$","2014"
"Finding distance traveled by a particle with given position","2014"
"Prove by mean value theorem, $(1 - \frac{1}{x})^x$ is an increasing function for $x > 0$.","2014"
"Related Rates of Change Ship","2016"
"Is any finite sum of real numbers well-defined?","2016"
"Relation between torsion of a curve and the curl of a vector field","2010"
"Find the equations of the tangent line(s) to $\large{\frac{(x-1)}{(x+1)}}$ that are parallel to the line $y=2(x-5)$","2015"
"Is there an inflection point in this function at $x=1$?","2016"
