time,tag,Score
"2015","<c++>","2"
"2014","<java>","3"
"2011","<c++>","3"
"2008","<c++>","19"
"2011","<java>","2"
"2016","<python>","2"
"2008","<java>","21"
"2015","<c++>","2"
"2012","<python>","8"
"2012","<python>","9"
"2011","<python>","8"
"2014","<c++>","2"
"2011","<c++>","2"
"2011","<c++>","3"
"2012","<python>","2"
"2013","<java>","7"
"2009","<c++>","74"
"2012","<python>","2"
"2012","<java>","2"
"2010","<python>","24"
"2015","<java>","2"
"2009","<python>","8"
"2011","<python>","12"
"2015","<python>","3"
"2014","<java>","2"
"2014","<c++>","4"
"2013","<java>","3"
"2015","<java>","2"
"2013","<c++>","2"
"2011","<c++>","12"
"2014","<java>","2"
"2016","<java>","6"
"2011","<java>","2"
"2012","<python>","5"
"2012","<python>","2"
"2012","<python>","3"
"2016","<java>","3"
"2015","<python>","5"
"2014","<java>","3"
"2016","<java>","6"
"2014","<c++>","3"
"2012","<c++>","16"
"2013","<c++>","4"
"2009","<c++>","3"
"2010","<c++>","5"
"2014","<python>","7"
"2015","<java>","2"
"2008","<python>","28"
"2008","<c++>","32"
"2010","<java>","14"
"2010","<python>","4"
"2010","<java>","2"
"2011","<python>","4"
"2010","<c++>","40"
"2012","<c++>","4"
"2013","<python>","12"
"2016","<c++>","2"
"2009","<java>","5"
"2014","<python>","2"
"2014","<python>","3"
"2011","<c++>","2"
"2009","<java>","4"
"2014","<c++>","3"
"2011","<c++>","10"
"2011","<python>","9"
"2012","<python>","15"
"2012","<python>","3"
"2009","<python>","26"
"2009","<python>","29"
"2013","<c++>","2"
"2009","<c++>","3"
"2010","<java>","2"
"2015","<python>","2"
"2015","<c++>","3"
"2009","<java>","7"
"2015","<java>","3"
"2011","<java>","2"
"2012","<c++>","2"
"2012","<python>","3"
"2011","<c++>","4"
"2012","<python>","7"
"2009","<java>","6"
"2012","<c++>","103"
"2009","<python>","5"
"2015","<python>","2"
"2009","<python>","4"
"2011","<java>","27"
"2014","<python>","2"
"2013","<python>","5"
"2012","<c++>","5"
"2010","<java>","10"
"2012","<java>","4"
"2012","<java>","2"
"2011","<c++>","3"
"2013","<python>","2"
"2013","<java>","5"
"2013","<python>","3"
"2012","<python>","7"
"2012","<java>","2"
"2013","<python>","5"
"2008","<python>","4"
"2011","<java>","7"
"2011","<java>","16"
"2014","<java>","2"
"2010","<c++>","2"
"2009","<python>","3"
"2013","<java>","2"
"2013","<java>","3"
"2012","<c++>","2"
"2016","<c++>","4"
"2015","<c++>","5"
"2012","<java>","2"
"2011","<python>","5"
"2010","<c++>","14"
"2011","<python>","3"
"2015","<java>","3"
"2014","<c++>","3"
"2015","<python>","2"
"2010","<java>","5"
"2010","<java>","2"
"2010","<java>","2"
"2012","<c++>","2"
"2009","<java>","4"
"2012","<c++>","3"
"2016","<java>","2"
"2010","<java>","2"
"2014","<java>","4"
"2013","<c++>","3"
"2013","<c++>","2"
"2013","<python>","2"
"2011","<c++>","6"
"2015","<c++>","2"
"2014","<python>","2"
"2013","<python>","6"
"2012","<c++>","2"
"2016","<java>","3"
"2016","<java>","2"
"2013","<python>","2"
"2011","<c++>","6"
"2014","<python>","5"
"2009","<python>","2"
"2015","<java>","2"
"2010","<java>","2"
"2013","<python>","8"
"2011","<java>","6"
"2012","<java>","8"
"2013","<c++>","4"
"2012","<python>","4"
"2011","<java>","4"
"2012","<java>","2"
"2010","<python>","11"
"2014","<java>","2"
"2015","<python>","2"
"2012","<python>","3"
"2016","<c++>","2"
"2014","<python>","3"
"2014","<java>","4"
"2013","<python>","3"
"2010","<c++>","3"
"2010","<java>","10"
"2009","<c++>","19"
"2012","<python>","4"
"2015","<java>","21"
"2010","<c++>","5"
"2010","<c++>","2"
"2013","<c++>","3"
"2010","<c++>","4"
"2010","<c++>","3"
"2014","<c++>","3"
"2010","<python>","6"
"2015","<java>","3"
"2013","<java>","17"
"2012","<python>","4"
"2012","<python>","6"
"2013","<c++>","5"
"2010","<java>","6"
"2016","<c++>","2"
"2016","<c++>","5"
"2011","<python>","7"
"2013","<python>","8"
"2013","<java>","3"
"2014","<java>","2"
"2012","<c++>","5"
"2014","<python>","4"
"2010","<c++>","3"
"2015","<python>","2"
"2015","<python>","3"
"2013","<python>","4"
"2008","<java>","4"
"2015","<c++>","2"
"2012","<c++>","7"
"2014","<c++>","2"
"2011","<java>","4"
"2011","<python>","4"
"2008","<java>","5"
"2013","<c++>","11"
"2008","<python>","5"
"2011","<java>","3"
"2016","<c++>","3"
"2013","<java>","2"
"2011","<java>","3"
"2015","<c++>","6"
"2011","<python>","2"
"2015","<python>","2"
"2009","<c++>","20"
"2012","<java>","3"
"2010","<java>","3"
"2012","<java>","2"
"2011","<java>","3"
"2012","<python>","4"
"2009","<java>","9"
"2011","<python>","4"
"2013","<java>","2"
"2009","<java>","9"
"2012","<java>","5"
"2010","<c++>","6"
"2008","<java>","6"
"2012","<python>","11"
"2015","<python>","9"
"2012","<c++>","2"
"2013","<python>","4"
"2008","<python>","801"
"2012","<java>","4"
"2008","<java>","340"
"2008","<java>","3"
"2011","<python>","4"
"2009","<python>","82"
"2015","<java>","2"
"2011","<java>","2"
"2011","<c++>","2"
"2011","<c++>","5"
"2011","<java>","2"
"2015","<c++>","3"
"2012","<c++>","3"
"2009","<java>","2"
"2012","<java>","2"
"2008","<c++>","3"
"2012","<java>","4"
"2016","<python>","2"
"2011","<java>","2"
"2011","<c++>","2"
"2015","<c++>","4"
"2009","<c++>","2"
"2014","<java>","6"
"2014","<c++>","2"
"2009","<c++>","4"
"2011","<python>","3"
"2012","<c++>","2"
"2015","<java>","5"
