Title,initial
"How to find the value of a variable in a probability distribution function?","2016"
"Does anyone know the properties of Generalized Gaussian Distribution?","2016"
"Comparing definitions of independence of two random variables","2016"
"Probability expected value football problem","2016"
"Tossing some coins.","2016"
"Am I misusing binomial random variable to represent probability of a student answering questions correctly?","2016"
"When you randomly shuffle a deck of cards, what is the probability that it is a unique permutation never before configured?","2010"
"Probability that two people see each other at the coffee shop","2010"
"Probability of last person taking his own card","2014"
"relationship between E[log(X)] and E[X]","2014"
"Brownian motion limit of random walk","2014"
"Independence of complement Independence events","2013"
"Monte Hall Problem - Question on Decision Tree Construction (Conditional Probability)","2013"
"A special random subset of uniformly distributed numbers is still uniformly distributed?","2013"
"Intuition about conditional sigma algebra","2016"
"Problem related to unbiased cubic dice","2016"
"An application of law of total expectation - product of events","2016"
"A problem in Probability","2013"
"Paula goes to work three days a week, with $\frac14$ chance to take the bus. What is the expected number of tmes she takes the bus?","2016"
"Making triangles out of a triangular lattice?","2014"
"Is the formula for average time spent an arbitrary concoction?","2015"
"Set Notation Probability","2015"
"On a question chosen at random, what is the probability that the student answers it correctly?","2013"
"Expectation of number of trials before success in an urn problem without replacement","2013"
"Lottery probability","2010"
"Expected value of squared distance between two points in unit disk","2014"
"Probability of a disease with mutually exclusive causes","2014"
"Drawing without replacement - prob. for an Ace followed by an Ace?","2015"
"Probability - selecting n boys and n girls","2014"
"What's the probability of a an outcome after N trials, if you stop trying once you're ""successful""?","2014"
"biased coin flipping","2014"
"Optimal stopping with dice rolls","2015"
"Stats Problem via Probability of Guessing on a test","2014"
"Counting Problem in Probability with a 2D Object","2016"
"The probability of reaching a certain amount of money before going bust in a casino game.","2016"
"Determine the state of a machine over time","2014"
"Probability of Finding One of a Very Few Defective Products in a Large Population","2014"
"What is the probability of a power set of the sample space?","2015"
"8 people are seated in a row. What is the probability 2 people are at least 2 seats apart?","2015"
"The names of 8 students are listed randomly. What is the probability that Al, Bob, and Charlie are all in the top 4?","2015"
"Probability of the union of $3$ events?","2014"
"Expected number of ""good"" balls drawn from an urn.","2012"
"Successive Lottery Drawings and Choosing Winning Number","2012"
"Where's my error? Probability three of a kind, three dice rolled once","2016"
"Expected number of runs of heads of size $k$?","2016"
"Question from probability theory","2014"
"Questions on a Test","2010"
"Bivariate Normal Distribution","2010"
"Painting Walls and Probability","2010"
"Conditional Probability","2010"
"Probability of choosing 6 from 49 where no numbers are next to each other","2014"
"A coin has ever-decreasing probability of landing heads on the nth toss. When can we expect it to land on heads in finite time?","2016"
"Which gives you better odds on Trivia Crack: Bombing or Double Chance?","2016"
"Why is this true: $P(X<a)=P(X^{2}<a^{2})$?","2013"
"Is $P( A \cup B\, |\, C) $ the same as $P(A | C) + P(B | C) $ ( $A$ and $B$ are mutually exclusive)","2013"
"Probability and distributions","2015"
"Find the variance of the digits sum","2014"
"prove by induction that $P\left(\bigcup\limits_{i=1}^{n} E_i\right) = 1-\prod\limits_{i=1}^{n}(1-P(E_i))$, $E_1,E_2,\ldots , E_i$ independent","2013"
"Lottery expected value probability question","2014"
"conditional probability - conditioned twice","2014"
"solving P(B|A) given P(B|A'), P(B'|A), P(A)?","2016"
"Probability of senior citizens in a one million residence","2013"
"Using CLT (in the 'reverse' way)","2014"
"Given that the family has at least one girl, determine the probability that the family has at least one boy.","2013"
"Finding some conditional probabilities in FiveThiryEight's College Football Playoff prediction model","2014"
"How do I calculate the probability of obtaining a particular score on a Social Studies quiz?","2014"
"Determining $P(x_1<x_2<x_3)$ when a pdf is given","2015"
"Quick question about Binomial variance","2014"
"Probability question on tossing a coin","2016"
"Probability Proof: Same Probability in Coin Toss","2016"
"help with probability","2016"
"Probability drawing two cards","2013"
"Azure / Carmine Balls Problem.","2016"
"Help me understand the following probability concept.","2014"
